time;averagePm10
"2018-12-10 23:00:00";23.670535093815
"2018-12-11 23:00:00";33.205628908965
"2018-12-12 23:00:00";60.353717859625
"2018-12-13 23:00:00";32.51382904795
"2018-12-14 23:00:00";20.919735927728
"2018-12-15 23:00:00";53.598818624044
"2018-12-16 23:00:00";133.36031966643
"2018-12-17 23:00:00";101.68736111111
"2018-12-18 23:00:00";66.626923076923
"2018-12-19 23:00:00";86.712152777778
"2018-12-20 23:00:00";62.381306462821
"2018-12-21 23:00:00";9.853125
"2018-12-22 23:00:00";22.290833333333
"2018-12-23 23:00:00";11.405628908965
"2018-12-24 23:00:00";23.350486111111
"2018-12-25 23:00:00";25.289444444444
"2018-12-26 23:00:00";23.923141070188
"2018-12-27 23:00:00";26.691666666667
"2018-12-28 23:00:00";21.7425
"2018-12-29 23:00:00";19.700486448923
"2018-12-30 23:00:00";16.833958333333
"2018-12-31 23:00:00";21.76375
"2019-01-01 23:00:00";7.1744444444444
"2019-01-02 23:00:00";8.9470833333333
"2019-01-03 23:00:00";26.106041666667
"2019-01-04 23:00:00";15.644544822794
"2019-01-05 23:00:00";9.7427380125087
"2019-01-06 23:00:00";43.735927727589
"2019-01-07 23:00:00";54.084016678249
"2019-01-08 23:00:00";39.417236566643
"2019-01-09 23:00:00";73.564836692147
"2019-01-10 23:00:00";62.882916666667
"2019-01-11 23:00:00";28.473731758165
"2019-01-12 23:00:00";9.2646282140375
"2019-01-13 23:00:00";6.16375
"2019-01-14 23:00:00";14.090757470466
"2019-01-15 23:00:00";19.755045233125
"2019-01-16 23:00:00";26.99277275886
"2019-01-17 23:00:00";11.227936066713
"2019-01-18 23:00:00";43.255486111111
"2019-01-19 23:00:00";107.99458333333
"2019-01-20 23:00:00";121.7748603352
"2019-01-21 23:00:00";99.703474635164
"2019-01-22 23:00:00";37.090138888889
"2019-01-23 23:00:00";25.617777777778
"2019-01-24 23:00:00";46.306258692629
"2019-01-25 23:00:00";51.390704500978
"2019-01-26 23:00:00";40.851091703057
"2019-01-27 23:00:00";69.366712995136
"2019-01-28 23:00:00";23.608686587908
"2019-01-29 23:00:00";36.800486448923
"2019-01-30 23:00:00";80.236692147325
"2019-01-31 23:00:00";67.922430555556
"2019-02-01 23:00:00";16.05149409312
"2019-02-02 23:00:00";49.527032661571
"2019-02-03 23:00:00";22.79701181376
"2019-02-04 23:00:00";38.307152777778
"2019-02-05 23:00:00";45.679535232384
"2019-02-06 23:00:00";77.092216817234
"2019-02-07 23:00:00";65.198011782032
"2019-02-08 23:00:00";44
"2019-02-09 23:00:00";10.846381093058
"2019-02-10 23:00:00";10.156914523975
"2019-02-11 23:00:00";9.9602777777778
"2019-02-12 23:00:00";26.749583333333
"2019-02-13 23:00:00";36.216678248784
"2019-02-14 23:00:00";42.208547602502
"2019-02-15 23:00:00";70.436597222222
"2019-02-16 23:00:00";83.959513888889
"2019-02-17 23:00:00";103.69986101459
"2019-02-18 23:00:00";96.915635858235
"2019-02-19 23:00:00";40.932248219735
"2019-02-20 23:00:00";31.075972222222
"2019-02-21 23:00:00";9.7288888888889
"2019-02-22 23:00:00";14.464141765115
"2019-02-23 23:00:00";59.380347222222
"2019-02-24 23:00:00";50.350521195275
"2019-02-25 23:00:00";32.595830437804
"2019-02-26 23:00:00";39.790347222222
"2019-02-27 23:00:00";32.942876997915
"2019-02-28 23:00:00";47.174009728979
"2019-03-01 23:00:00";28.865392633773
"2019-03-02 23:00:00";38.417916666667
"2019-03-03 23:00:00";7.4209173036831
"2019-03-04 23:00:00";6.5551772063933
"2019-03-05 23:00:00";17.731666666667
"2019-03-06 23:00:00";17.170208333333
"2019-03-07 23:00:00";7.2160312805474
"2019-03-08 23:00:00";7.0263377345379
"2019-03-09 23:00:00";3.7511805555556
"2019-03-10 23:00:00";8.0525694444444
"2019-03-11 23:00:00";15.324739402363
"2019-03-12 23:00:00";10.388055555556
"2019-03-13 23:00:00";7.9204166666667
"2019-03-14 23:00:00";5.6161111111111
"2019-03-15 23:00:00";7.2088950660181
"2019-03-16 23:00:00";14.581792911744
"2019-03-17 23:00:00";12.837109103544
"2019-03-18 23:00:00";25.628630993746
"2019-03-19 23:00:00";64.977083333333
"2019-03-20 23:00:00";71.072202918694
"2019-03-21 23:00:00";61.636900625434
"2019-03-22 23:00:00";43.485808339429
"2019-03-23 23:00:00";22.063819691578
"2019-03-24 23:00:00";17.501182197497
"2019-03-25 23:00:00";16.251424600417
"2019-03-26 23:00:00";22.257470465601
"2019-03-27 23:00:00";47.136970118138
"2019-03-28 23:00:00";63.969583333333
"2019-03-29 23:00:00";67.941666666667
"2019-03-30 23:00:00";40.826250906454
"2019-03-31 22:00:00";5.2764583333333
"2019-04-01 22:00:00";12.953055555556
"2019-04-02 22:00:00";23.850799166088
"2019-04-03 22:00:00";27.702710215427
"2019-04-04 22:00:00";27.655038220987
"2019-04-05 22:00:00";33.682070882557
"2019-04-06 22:00:00";25.417083333333
"2019-04-07 22:00:00";36.814166666667
"2019-04-08 22:00:00";35.70201809325
"2019-04-09 22:00:00";20.191174426685
"2019-04-10 22:00:00";24.018263888889
"2019-04-11 22:00:00";20.477345378735
"2019-04-12 22:00:00";32.908547602502
"2019-04-13 22:00:00";23.670127504554
"2019-04-14 22:00:00";14.222376650452
"2019-04-15 22:00:00";20.647741487144
"2019-04-16 22:00:00";21.696664350243
"2019-04-17 22:00:00";29.549513888889
"2019-04-18 22:00:00";33.527519110493
"2019-04-19 22:00:00";23.329603891591
"2019-04-20 22:00:00";15.708130646282
"2019-04-21 22:00:00";15.653161917999
"2019-04-22 22:00:00";12.271736111111
"2019-04-23 22:00:00";11.463680555556
"2019-04-24 22:00:00";12.320486111111
"2019-04-25 22:00:00";11.123349548297
"2019-04-26 22:00:00";13.749652777778
"2019-04-27 22:00:00";21.254930555556
"2019-04-28 22:00:00";9.7719944405837
"2019-04-29 22:00:00";11.12362751911
"2019-04-30 22:00:00";16.558165392634
"2019-05-01 22:00:00";18.699513551077
"2019-05-02 22:00:00";22.351841556637
"2019-05-03 22:00:00";15.687004864489
"2019-05-04 22:00:00";10.591319444444
"2019-05-05 22:00:00";7.093125
"2019-05-06 22:00:00";10.901527777778
"2019-05-07 22:00:00";21.676094510076
"2019-05-08 22:00:00";18.740779401531
"2019-05-09 22:00:00";14.802293259208
"2019-05-10 22:00:00";11.724808895066
"2019-05-11 22:00:00";20.297428769979
"2019-05-12 22:00:00";4.7687977762335
"2019-05-13 22:00:00";5.5400972897846
"2019-05-14 22:00:00";5.796872828353
"2019-05-15 22:00:00";12.799096594858
"2019-05-16 22:00:00";20.555177206393
"2019-05-17 22:00:00";12.446073662265
"2019-05-18 22:00:00";10.519735927728
"2019-05-19 22:00:00";9.17705078125
"2019-05-20 22:00:00";7.9252258512856
"2019-05-21 22:00:00";6.6565670604587
"2019-05-22 22:00:00";4.4318117977528
"2019-05-23 22:00:00";17.535004557885
"2019-05-24 22:00:00";13.930159833217
"2019-05-25 22:00:00";24.387213342599
"2019-05-26 22:00:00";14.99339819319
"2019-05-27 22:00:00";10.041111111111
"2019-05-28 22:00:00";7.9552466990966
"2019-05-29 22:00:00";7.2600694444444
"2019-05-30 22:00:00";13.932291666667
"2019-05-31 22:00:00";13.111883252259
"2019-06-01 22:00:00";11.328561501042
"2019-06-02 22:00:00";6.3779166666667
"2019-06-03 22:00:00";8.5440972222222
"2019-06-04 22:00:00";10.036319444444
"2019-06-05 22:00:00";10.362682418346
"2019-06-06 22:00:00";13.210833333333
"2019-06-07 22:00:00";14.013273106324
"2019-06-08 22:00:00";6.7144544822794
"2019-06-09 22:00:00";15.500208333333
"2019-06-10 22:00:00";14.998262682418
"2019-06-11 22:00:00";11.916191799861
"2019-06-12 22:00:00";14.250868658791
"2019-06-13 22:00:00";19.158136300417
"2019-06-14 22:00:00";22.104586518416
"2019-06-15 22:00:00";11.852605976372
"2019-06-16 22:00:00";6.4955555555555
"2019-06-17 22:00:00";11.422986111111
"2019-06-18 22:00:00";13.869166666667
"2019-06-19 22:00:00";11.270257123002
"2019-06-20 22:00:00";13.134746351633
"2019-06-21 22:00:00";12.998610145935
"2019-06-22 22:00:00";4.1553856845031
"2019-06-23 22:00:00";6.0288394718555
"2019-06-24 22:00:00";15.397508038585
"2019-06-25 22:00:00";15.998127753304
"2019-06-26 22:00:00";12.028611111111
"2019-06-27 22:00:00";6.9454482279361
"2019-06-28 22:00:00";5.98
"2019-06-29 22:00:00";10.853958333333
"2019-06-30 22:00:00";10.476928422516
"2019-07-01 22:00:00";9.7335416666667
"2019-07-02 22:00:00";3.9399305555556
"2019-07-03 22:00:00";5.7253648366922
"2019-07-04 22:00:00";7.2465601111883
"2019-07-05 22:00:00";7.8468380820014
"2019-07-06 22:00:00";9.8751216122307
"2019-07-07 22:00:00";3.4378040305768
"2019-07-08 22:00:00";5.3774813233725
"2019-07-09 22:00:00";4.7196682464455
"2019-07-10 22:00:00";7.4989568845619
"2019-07-11 22:00:00";7.1280555555556
"2019-07-12 22:00:00";13.902291666667
"2019-07-13 22:00:00";9.6693537178596
"2019-07-14 22:00:00";7.3535515320334
"2019-07-15 22:00:00";11.504583333333
"2019-07-16 22:00:00";7.4421820708826
"2019-07-17 22:00:00";7.3737317581654
"2019-07-18 22:00:00";12.172752043597
"2019-07-20 22:00:00";7.7228533685601
"2019-07-21 22:00:00";11.546282140375
"2019-07-22 22:00:00";11.832592077832
"2019-07-23 22:00:00";14.702154273801
"2019-07-24 22:00:00";8.8078526754691
"2019-07-25 22:00:00";11.876025017373
"2019-07-26 22:00:00";12.125475017593
"2019-07-27 22:00:00";11.776
"2019-07-28 22:00:00";12.669840166783
"2019-07-29 22:00:00";19.099027777778
"2019-07-30 22:00:00";24.340486111111
"2019-07-31 22:00:00";16.354273801251
"2019-08-01 22:00:00";9.0670138888889
"2019-08-02 22:00:00";7.5513194444444
"2019-08-03 22:00:00";7.5034722222222
"2019-08-04 22:00:00";8.1420833333333
"2019-08-05 22:00:00";9.4653926337735
"2019-08-06 22:00:00";10.733217512161
"2019-08-07 22:00:00";8.0036136205698
"2019-08-08 22:00:00";8.8477414871438
"2019-08-09 22:00:00";7.8120917303683
"2019-08-10 22:00:00";2.4286111111111
"2019-08-11 22:00:00";9.2584433634468
"2019-08-12 22:00:00";4.7250868658791
"2019-08-13 22:00:00";3.3555640243902
"2019-08-14 22:00:00";4.8792497069168
"2019-08-15 22:00:00";8.8883252258513
"2019-08-16 22:00:00";9.1471855455177
"2019-08-17 22:00:00";8.1690757470466
"2019-08-18 22:00:00";7.5770942408377
"2019-08-19 22:00:00";7.2673384294649
"2019-08-20 22:00:00";9.5990277777778
"2019-08-21 22:00:00";6.884375
"2019-08-22 22:00:00";11.783043780403
"2019-08-23 22:00:00";11.582083333333
"2019-08-24 22:00:00";15.138263888889
"2019-08-25 22:00:00";17.676965901183
"2019-08-26 22:00:00";21.955802640723
"2019-08-27 22:00:00";16.845478723404
"2019-08-28 22:00:00";17.199513888889
"2019-08-29 22:00:00";18.588325225851
"2019-08-30 22:00:00";15.059277275886
"2019-08-31 22:00:00";17.168402777778
"2019-09-01 22:00:00";12.679221681723
"2019-09-02 22:00:00";6.630625
"2019-09-03 22:00:00";7.541765114663
"2019-09-04 22:00:00";6.9836805555556
"2019-09-05 22:00:00";3.0564975677554
"2019-09-06 22:00:00";12.734954829743
"2019-09-07 22:00:00";8.9886111111111
"2019-09-08 22:00:00";14.391962616822
"2019-09-09 22:00:00";4.0932415519399
"2019-09-10 22:00:00";8.4109027777778
"2019-09-11 22:00:00";13.154431699687
"2019-09-15 22:00:00";7.6563614744352
"2019-09-16 22:00:00";6.1186111111111
"2019-09-17 22:00:00";3.0840277777778
"2019-09-18 22:00:00";7.4841556636553
"2019-09-19 22:00:00";14.877361111111
"2019-09-20 22:00:00";18.931736111111
"2019-09-21 22:00:00";21.901667824878
"2019-09-22 22:00:00";19.630159833218
"2019-09-23 22:00:00";33.222708333333
"2019-09-24 22:00:00";43.477222222222
"2019-09-25 22:00:00";13.693333333333
"2019-09-26 22:00:00";14.020486111111
"2019-09-27 22:00:00";7.844127866574
"2019-09-28 22:00:00";6.5306944444444
"2019-09-29 22:00:00";2.6204481792717
"2019-09-30 22:00:00";3.1929068150209
"2019-10-01 22:00:00";9.4896140350877
"2019-10-02 22:00:00";9.7746065808298
"2019-10-03 22:00:00";17.01362056984
"2019-10-04 22:00:00";14.408194444444
"2019-10-05 22:00:00";12.81000694927
"2019-10-06 22:00:00";21.007435719249
"2019-10-07 22:00:00";33.875277777778
"2019-10-08 22:00:00";14.857261987491
"2019-10-09 22:00:00";4.161875
"2019-10-10 22:00:00";5.913064628214
"2019-10-11 22:00:00";10.386726893676
"2019-10-12 22:00:00";22.990410006949
"2019-10-13 22:00:00";32.014722222222
"2019-10-14 22:00:00";30.656845031272
"2019-10-15 22:00:00";17.041626129256
"2019-10-16 22:00:00";14.102918693537
"2019-10-17 22:00:00";30.485823488534
"2019-10-18 22:00:00";42.090548992356
"2019-10-19 22:00:00";28.938161559889
"2019-10-20 22:00:00";20.386111111111
"2019-10-21 22:00:00";39.228888888889
"2019-10-22 22:00:00";58.547394023628
"2019-10-23 22:00:00";52.930090340514
"2019-10-24 22:00:00";50.125434329395
"2019-10-25 22:00:00";57.496736111111
"2019-10-26 22:00:00";52.9476
"2019-10-27 23:00:00";22.9675
"2019-10-28 23:00:00";56.911396803336
"2019-10-29 23:00:00";18.833148019458
"2019-10-30 23:00:00";61.537734537873
"2019-10-31 23:00:00";67.398194444444
"2019-11-01 23:00:00";45.118902015288
"2019-11-02 23:00:00";20.651388888889
"2019-11-03 23:00:00";14.931666666667
"2019-11-04 23:00:00";18.826944444444
"2019-11-05 23:00:00";33.582209867964
"2019-11-06 23:00:00";41.133981931897
"2019-11-07 23:00:00";40.122793606671
"2019-11-08 23:00:00";35.933703961084
"2019-11-09 23:00:00";21.588950660181
"2019-11-10 23:00:00";24.264583333333
"2019-11-11 23:00:00";18.199375
"2019-11-12 23:00:00";26.613898540653
"2019-11-13 23:00:00";19.551355107714
"2019-11-14 23:00:00";33.474774148714
"2019-11-15 23:00:00";34.063611111111
"2019-11-16 23:00:00";26.587986111111
"2019-11-17 23:00:00";22.810701876303
"2019-11-18 23:00:00";30.771319444444
"2019-11-19 23:00:00";38.274357192495
"2019-11-20 23:00:00";18.487004864489
"2019-11-21 23:00:00";16.090416666667
"2019-11-22 23:00:00";33.284930555556
"2019-11-23 23:00:00";36.685128561501
"2019-11-24 23:00:00";37.086865879083
"2019-11-25 23:00:00";42.888055555556
"2019-11-26 23:00:00";43.274982626824
"2019-11-27 23:00:00";83.099652536484
"2019-11-28 23:00:00";11.655872133426
"2019-11-29 23:00:00";21.357430555556
"2019-11-30 23:00:00";49.50660180681
"2019-12-01 23:00:00";56.918541666667
"2019-12-02 23:00:00";34.571369006254
"2019-12-03 23:00:00";83.523611111111
"2019-12-04 23:00:00";92.873036831133
"2019-12-05 23:00:00";45.474027777778
